idItinerario,codigoAeropuerto,nombreAeropuerto
264,BEN,"Benghazi, Libya   Benina International Airport"
265,BEH,"Benton Harbor, MI, USA Ross Field"
266,BGO,"Bergen, Norway Flesland"
267,EGC,"Bergerac, France   Aeroport de Bergerac Perigord Dordogne"
268,BVG,"Berlevag, Norway   Berlevag Airport"
269,BER,"Berlin, Germany Schoenefeld"
270,SXF,"Berlin, Germany Schoenefeld"
271,TXL,"Berlin, Germany Tegel"
272,THF,"Berlin, Germany Tempelhof"
273,BDA,"Bermuda/Hamilton, Bermuda Kindley Airfield/Civil Air Terminal"
274,BRN,"Berne, Switzerland Belp"
275,ZDJ,"Berne, Switzerland BerneRr Station"
276,BET,"Bethel, AK, USA Bethel"
277,BZR,"Beziers, France BeziersVias"
278,BWA,"Bhairawa, Nepal Bhairawa"
279,BHU,"Bhavnagar, India   Bhavnagar Airport"
280,BHO,"Bhopal, India   Bhopal Airport"
281,BBI,"Bhubaneswar, India Bhubaneswar"
282,BIK,"Biak, Indonesia Mokmer"
283,BIQ,"Biarritz, France Parme"
284,BGK,"Big Creek, Belize Big Creek"
285,BIO,"Bilbao, Spain Sondica"
286,BIL,"Billings, MT, USA Billings Logan Intnl Airport"
287,BLL,"Billund, Denmark Billund"
288,BIM,"Bimini, Bahamas Bimini Island International"
289,NSB,"Bimini, Bahamas North Seaplane Base"
290,BGM,"Binghamton/Endicott/Johnson City, NY, USA Edwin Alink Field"
291,BTU,"Bintulu, Sarawak, Malaysia Bintulu"
292,BVI,"Birdsville, Queensland, Australia Birdsville"
293,BHM,"Birmingham, AL, USA Seibels/Bryan Airport"
294,BHX,"Birmingham, England, United Kingdom International"
295,BHH,"Bisha, Saudi Arabia   Bisha Airport"
296,FRU,"Bishkek, Kyrgyzstan Bishkek Airport"
297,BSK,"Biskra, Algeria Biskra"
298,BIS,"Bismarck, ND, USA Bismarck Mannan Municipal"
299,OXB,"Bissau, GuineaBissau Osvaldo Vieira"
300,BKQ,"Blackall, Australia   Blackall Airport"
301,BLK,"Blackpool, England, United Kingdom Blackpool"
302,BLT,"Blackwater, Australia   Blackwater Airport"
303,YBX,"Blanc Sablon, Quebec, Canada Blanc Sablon Airport"
304,BLZ,"Blantyre, Malawi Chileka"
305,BHE,"Blenheim, New Zealand   Woodbourne Airport"
306,BFN,"Bloemfontein, South Africa Jbm Hertzog"
307,BMI,"Bloomington, IL, USA Normal"
308,BMG,"Bloomington, IN, USA Monroe County Airport"
309,BLF,"Bluefield, WV, USA   Mercer Country Airport"
310,BYH,"Blytheville, Arkansas, USA   Arkansas International Airport"
311,BVB,"Boa Vista, Roraima, Brazil"
312,BOO,"Bodo, Norway Bodo"
313,BXN,"Bodrum, Turkey Imsik Airport"
314,BFI,"Boeing Field/Seattle Kings County International, Seattle WA, USA"
315,BOG,"Bogota, Colombia Eldorado"
316,BOI,"Boise, ID, USA Boise Municipal Arpt (Gowen Field)"","
317,BLQ,"Bologna, Italy Guglielmo Marconi"
318,BZO,"Bolzano, Italy   Bolzano Airport"
319,BOM,"Bombay, India   Mumbai"
320,BON,"Bonaire, Netherlands Antilles Flamingo Field"
321,YVB,"Bonaventure, Quebec, Canada"
322,BNJ,"Bonn, Germany Train Main Railroad Station"
323,BOB,"Bora Bora, French Polynesia   Motu Mute Airport"
324,BOD,"Bordeaux, France Merignac"
325,HBE,"Borg El Arab/Alexandria, Egypt Borg El Arab Airport"
326,BLE,"Borlange,Sweden   Dala Airport"
327,RNN,"Bornholm, Denmark Arnager"
328,BOS,"Boston, MA, USA Logan International Airport"
329,WBU,"Boulder, CO, USA"
330,BOJ,"Bourgas, Bulgaria   Bourgas Airport"
331,BZN,"Bozeman, MT, USA Gallatin Field"
332,BFD,"Bradford, PA, USA Bradford Regional"
333,BRD,"Brainerd, MN, USA"
334,XPN,"Brampton, Ontario, Canada Brampton / Via Rail Service"
335,BMP,"Brampton Island, Australia   Brampton Island Airport"
336,YBR,"Brandon, Manitoba, Canada"
337,XFV,"Brantford, Ontario, Canada Brantford / Via Rail Service"
338,BSB,"Brasilia, Distrito Federal, Brazil International"
339,BTS,"Bratislava, Slovakia Ivanka"
340,BZV,"Brazzaville, COngo   Maya Maya Airport"
341,QKB,"Breckenridge, CO, USA"
342,BRE,"Bremen, Germany Bremen"
343,PWT,"Bremerton, WA, USA Municipal"
344,VBS,"Brescia, Italy   Brescia Airport"
345,BES,"Brest, France Guipavas"
346,BDR,"Bridgeport, CT, USA Sikorsky Memorial"
347,BGI,"Bridgetown, Barbados Grantley Adams International"
348,BDS,"Brindisi, Italy   Brindisi Airport"
349,BNE,"Brisbane, Queensland, Australia Brisbane International Airport"
350,BRS,"Bristol, England, United Kingdom Bristol"
351,TRI,"Bristol/Johnson City/Kingsport, TN, USA Municipal TriCity Airport"
352,BVE,"BriveLaGaillarde, France Laroche"
353,BRQ,"Brno, Czech Republic Turany"
354,XBR,"Brockville, Ontario, Canada"
355,BHQ,"Broken Hill, New South Wales, Australia Broken Hill"
356,BNN,"Bronnoysund, Norway Bronnoy"
357,BKX,"Brookings, SD, USA Brookings Municipal Airport"
358,BME,"Broome, Australia   Broome Airport"
359,YVM,"Broughton Island, Canada   Broughton Island Airport"
360,BRO,"Brownsville, TX, USA South Padre Island Intl"
361,BWD,"Brownwood, Texas, USA   Brownwood Airport"
362,OST,"Bruges, Belgium   Ostend/Bruges International Airport"
363,BWN,"Brunei/Bandar Seri Begawan, Brunei Darussalam   Brunei International"
364,BQK,"Brunswick, GA, USA Glynco Jetport"
365,BRU,"Brussels, Belgium National"
366,CRL,"Brussels South Charleroi Airport   Gosselies, Belgium"
367,BGA,"Bucaramanga, Colombia Palo Negro"
368,BBU,"Bucharest, Romania Baneasa"
369,OTP,"Bucharest, Romania Otopeni"
370,BUD,"Budapest, Hungary Ferihegy"
371,EZE,"Buenos Aires, Buenos Aires, Argentina   Ezeiza Ministro Pistarini International Airport"
372,AEP,"Buenos Aires, Buenos Aires, Argentina   Jorge Newberry"
373,BUF,"Buffalo, NY, USA   Buffalo Niagara International Airport (formerly Greater Buffalo Intl Airport)"","
374,BJM,"Bujumbura, Burundi   Bujumbura Airport"
375,BHK,"Bukhara, Uzbekistan"
376,BUQ,"Bulawayo, Zimbabwe Bulawayo"
377,UGA,"Bulgan, Bulgan, Mongolia   Bulgan Airport"
378,IFP,"Bullhead City, AZ, USA Bullhead"
379,BDB,"Bundaberg, Australia   Bundaberg Airport"
380,BUX,"Bunia, Democratic Republic of the Congo (Zaire)   Bunia Airport"
381,BUR,"Burbank, CA, USA Burbank Glendale Pasadena Airport"
382,BRL,"Burlington, IA, USA Burlington Municipal Airport"
383,BTV,"Burlington, VT, USA Burlington International Airport"
384,BWT,"Burnie, Australia   Burnie Airport"
385,YPZ,"Burns Lake, British Columbia, Canada"
386,BUZ,"Bushehr, Iran Bushehr"
387,BTM,"Butte, MT, USA"
388,YKZ,"Buttonville, Canada   Buttonville Municipal Airport"
389,BXU,"Butuan, Philippines Butuan"
390,BZG,"Bydgoszcz, Poland"
391,CFR,"Caen, France Carpiquet"
392,CGY,"Cagayan De Oro, Philippines   Lumbia Airport"
393,CAG,"Cagliari, Sardinia, Italy Elmas"
394,PLS,"Caicos, Turks And Caicos Islands   Providenciales"
395,CNS,"Cairns, Queensland, Australia   Cairns International Airport"
396,CAI,"Cairo, Egypt International"
